Instancia,Clase,tf0,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,tf11,tf12,tf13,tf14,tf15,tf16,tf17,tf18,tf19,tf20,tf21,tf22,tf23,tf24,tf25,tf26,tf27,tf28,tf29,tf30,tf31,tf32,tf33,tf34,tf35,tf36,tf37,tf38,tf39,tf40,tf41,tf42,tf43,tf44,tf45,tf46,tf47,tf48,tf49,tf50,tf51,tf52,tf53,tf54,tf55,tf56,tf57,tf58,tf59,tf60,tf61,tf62,tf63,tf64,tf65,tf66,tf67,tf68,tf69,tf70,tf71,tf72,tf73,tf74,tf75,tf76,tf77,tf78,tf79,tf80,tf81,tf82,tf83,tf84,tf85,tf86,tf87,tf88,tf89,tf90,tf91,tf92,tf93,tf94,tf95,tf96,tf97,tf98
0,2,0.020898785645140992,0.02385973258609561,0.018200207846564908,0.020416008495375563,0.03143674062220079,0.04526082513547151,0.08967633016373608,3.6303409130772204e-05,0.00043490673661464297,0.004351601901488946,0.0002518408592100944,5.020557775389398e-05,0.004865504274895718,0.0005624536788664453,0.0014925873891958187,0.01568773709799854,0.0034804710127072924,0.0006228058250814055,0.0004158086170708386,0.008808782136735046,0.013364817917806983,0.0016258733888384024,0.01569161953668237,0.008439933856084646,0.021720191870287262,0.04016990823456169,0.009209465208084572,0.016703028045154295,0.0008265510897660183,0.0014035705906455152,0.043611457442463836,0.004155227294357196,0.0003163047224302876,0.0003908988354574918,0.04187169746058448,0.00019173970070238795,0.0011568354468614783,0.0030641444629965335,0.005190147573602506,0.0065726343086630985,0.006687926231303262,0.005803668339805663,0.004971602441833677,0.004719925855245095,0.0045554711909976935,0.00421538837658683,0.004694132024622093,0.005652454457303328,0.005723580420430824,0.005585943558282073,0.006249346198848272,0.0066592665571517645,0.005914760049556645,0.0053336955994880315,0.005431213225211751,0.004904221397196453,0.00392055703318208,0.003365539329873686,0.003171437342767417,0.002645924463505869,0.0021205309545814207,0.0019348645062328019,0.0018328337495213233,0.0016137583858566247,0.0014925627230301987,0.0014451866434855949,0.0014012555348970664,0.0013761744687890048,0.0014055008017080002,0.0013423737460705016,0.0013521190501357065,0.0013269269984579747,0.0013351332504763953,0.0013412356451045194,0.0013375448519893432,0.001373001101932864,0.0013655980350282884,0.001333703465602138,0.001360956986421735,0.0013793902841999495,0.0013807160067468105,0.0013701467583659055,0.0013909206981895673,0.0014155354285118498,0.0014117523176433952,0.001418997192694598,0.0014219036775414582,0.001434865927755912,0.0014523172703498756,0.001452100820036265,0.001484358371062094,0.0014896218391183896,0.0014961917147856053,0.0014869684937176219,0.00148771816254322,0.0014915774202851149,0.001476440868542283,0.0014773868137374904,0.001470749149184224
1,3,0.10347623123197906,0.1007718233519404,0.1210941282203288,0.10983883175989438,0.09750282019910317,0.19271269837860097,0.2822069835678042,0.0014833829602676745,0.017583592210656925,0.0034895049808384773,0.0009540711019925361,0.001070348855694694,0.005907712234595052,0.016039745229391035,0.03042179467092881,0.3096451151291499,0.002368462861451497,0.0015054289209589413,0.0028124428679733846,0.04700555931057484,0.29185957932182754,0.010325766572502856,0.1341949338321552,0.12573438132211648,0.05151937365967635,0.03607677031014153,0.24262974540456664,0.07590551886213256,0.0019057048902741413,0.008190210547359885,0.20015842425083546,0.06198586838301389,0.008867484893650518,0.00560548766893493,0.19263802450378018,6.84710163324667e-05,0.00034689383427562387,0.0008292915709193102,0.0013944865385421606,0.001889118827150074,0.001984839123890686,0.0017697697919127461,0.0019722454387797557,0.0024563680917685554,0.0025052164909762495,0.002822091221930119,0.003957911712445259,0.004527089151947519,0.004329744276010189,0.004932198373297978,0.005578698283553354,0.004911463633339714,0.004304238962705952,0.004432374812138401,0.0039002060793188863,0.002818500669416939,0.002465280780373396,0.00227351032617729,0.0016725369218839289,0.001230523187144381,0.001176859321035652,0.0010447382136766223,0.0008508289796764331,0.0007868575041082538,0.0007913077599466541,0.0007618044171319782,0.0007343562666576772,0.0007475232213702887,0.0007646782876381549,0.0007587568948471006,0.0007692692438342291,0.0007725290020655205,0.0007870324881577932,0.0008017545532935098,0.0008132928289199525,0.0008304363687317319,0.0008367191197130866,0.0008481498555818626,0.0008605198747213024,0.0008736676763835043,0.0008868995526081724,0.0009015718151582652,0.0009150029262029395,0.0009306586329301938,0.0009473616355684846,0.0009621292281939074,0.0009706900220633142,0.0009869749462455373,0.001002935099687015,0.0010149757795196795,0.0010340622329678148,0.0010527023505608386,0.0010673079336552577,0.0010757329369775435,0.001087136891913442,0.0010968846934210996,0.001113550864970229,0.0011197841487300911,0.0011268876095250422
2,2,0.9719374696323886,1.0928653263570716,1.0001325186674965,0.9539984877622238,1.5082629749352512,0.08887542090981349,0.025695932659544188,3.2252581683917175e-05,0.0007305221323618303,0.06340618231611339,0.004169366423092776,0.0005225991897313127,0.07309677869908572,0.0018210270715631686,0.0013477720124373087,0.016279925765273078,0.050941326012393054,0.004761522816297698,0.0010633528436147204,0.06887636966505063,0.011117842173298883,0.008231745462548835,0.0775619950933928,0.04777760692905232,0.0035548511748600144,0.017174511788007826,0.010604671674546482,0.09601212041261055,0.00268082948901795,0.03729114379006045,0.013467246062103476,0.006147610792125974,0.0001317033116319225,0.0024754720052264116,0.030902419020563027,0.00019994505132992624,0.0010763764653704232,0.0027477752157495225,0.004623783989359782,0.005892652066790058,0.005945569579151053,0.005147243762930668,0.004765385766326033,0.0048524633246993035,0.004619741709926462,0.004731852294730731,0.005901370989999974,0.006640170438941528,0.006429028055127569,0.006981612608990859,0.007738115397344344,0.007167621211081881,0.006404948080287223,0.006349069146338184,0.005822490312441433,0.004664738540554757,0.004095012042747157,0.0037613190131054637,0.0031540165213139026,0.002632516581414829,0.0024441118062444164,0.002307197581410612,0.0021387042313384804,0.0020351377317142445,0.002036938302765337,0.0020410519878106925,0.0020131719930119307,0.0020460318164913388,0.0021140321126417384,0.0020997744391631637,0.0021329411479886116,0.0021417688788798283,0.002182157585134015,0.002214805778093643,0.002243287527272993,0.0022973590219529526,0.0023185100193180695,0.0023169788251884886,0.002363073863747671,0.002395123015694271,0.0024308544914713975,0.002461732280415941,0.0024985535910048316,0.002538853370452866,0.0025801886316562483,0.002611175793214816,0.002633194918856917,0.002668244264550546,0.0027166395360840056,0.0027535262175475235,0.002794825982752394,0.0028391263202295473,0.0028823600027176035,0.0028983666091871112,0.0029232869523722117,0.00295104021388016,0.0029881379623933795,0.002992381037300965,0.0030094420615143077
3,3,0.0883651481723561,0.10321106406877607,0.0689888800562488,0.09311317499259512,0.09535131335995617,0.12235165483865125,0.16689149653636343,7.328824174741276e-05,0.0013141964662327487,0.007343951324839027,0.0010788964049182155,0.0003885145995378984,0.01000212562199774,0.000485211950361126,0.009639346259730125,0.1000283592178347,0.002250598299169995,0.0007273900383021262,0.001418743674505719,0.011719208929680447,0.09634655633403204,0.0014804176628670273,0.011801860593939064,0.022711825455191865,0.01191159336965067,0.013052598945963854,0.016167919287503423,0.01838478498542231,0.0014957907875531734,0.009886526123897727,0.013628654510826002,0.0033224810046960595,0.00021322172198353208,0.004579194065989478,0.009636842075881467,0.000350849071138649,0.002036720802847442,0.005430847870275217,0.009225075674248278,0.011514354674809053,0.011438266191642371,0.009839779497057789,0.008267295262116866,0.0070224027193325645,0.005999667346503321,0.005495296347101411,0.005721723664065869,0.005691678845069421,0.005321122482254661,0.0056001369228407104,0.005746236242587432,0.005209305625057826,0.00488322031947498,0.0048782962552249235,0.004423987990193464,0.003818988501679625,0.0037671573092165904,0.0035340846833573194,0.0031276093381746367,0.0030099054396183753,0.0029771500899271877,0.0028628433037615466,0.0028102552887693507,0.002822889877860806,0.002831875180892206,0.0028091163412171443,0.002814096443655836,0.002879775801775427,0.0029650235421564515,0.002897017806006693,0.0029486563326140834,0.0029245682599983855,0.002964635036635103,0.0030080624154037853,0.003018460548580223,0.003085054425238294,0.0030921892734553096,0.003072823153169821,0.003118271285866928,0.003158281791120012,0.003193718971048958,0.0032036056175385134,0.003241231631110328,0.003299912934322137,0.0033301347011788786,0.0033560861200817153,0.0033706810228975328,0.0034156272595474513,0.0034621181201671576,0.00348090673985328,0.0035558260608724848,0.0035924449495052277,0.0036217495017085996,0.0036278199124989124,0.0036480137278838243,0.0036526634026916626,0.0036580906392017112,0.003674509926641877,0.003676225132585933
4,2,0.13048659101430024,0.18796636018367874,0.09750712972964734,0.13485561603462062,0.26654347782612864,0.07266399090909159,0.21289364583561132,0.000172211960341848,0.0021530344102173903,0.012915905893199256,0.000195935733570428,0.00022705622894889926,0.011025905835176108,0.004154624048782311,0.030748878925092253,0.3325506419846977,0.022126939777226805,0.008213529140406909,0.006784621939384899,0.13397240900123056,0.27470339209773004,0.004177968239118233,0.028598754275928697,0.1679654854410593,0.03043562962083021,0.012523223027037605,0.13085803873994342,0.06408827878098225,0.053208470573411194,0.2693325361941498,0.15558348408018577,0.0012042437590532988,0.0002030512319104065,0.008345573747751814,0.036583890944702074,5.0669073763395944e-05,0.00025202360610636826,0.0005330426302047671,0.0009243386666610051,0.001465715807770867,0.001675182189873395,0.0016103105639447598,0.0023063574579155997,0.00333318974874718,0.0035666165367974024,0.004351890272080303,0.006295211821763104,0.007079265815451895,0.006964344785197409,0.008106355258985117,0.008749227350684393,0.007585185327476313,0.006972319833776498,0.0068702109261613055,0.00554562804453562,0.004129762046746179,0.0036969208237717446,0.002903880925966563,0.0019016358640178352,0.0015034214051213566,0.0013112587620240045,0.0008880133103813283,0.0006771925277142918,0.0006511889234992365,0.0005687297445802443,0.0004927714434721449,0.0004825704588394859,0.0004879415734812317,0.0004735273390524238,0.0004722989169035368,0.00047981364056735984,0.00047346234661395,0.0004921787209761354,0.0004965747114963374,0.0004986798634040525,0.0005078755231618519,0.0005085341059746112,0.0005037411717543808,0.0005302744398777897,0.0005341416069058737,0.0005513844053379626,0.0005571785327869921,0.0005622978283917725,0.0005722749537683097,0.0005899169004382248,0.0005917697077773285,0.0005958123551358592,0.0006055952027787117,0.000618269100777054,0.0006308335255310193,0.0006365503137138306,0.0006365102412139215,0.0006546931571445112,0.0006560903366354053,0.0006661252515763667,0.0006542401187048667,0.0007327714897695596,0.0006948112049146246,0.0006912635882838599
5,3,1.4113980045737742,1.8209678443365567,1.3253445735512694,1.3892610014152746,2.8832633975410342,0.09957638316482399,1.0813769100826343,0.00018303720282275454,0.0012618374724639892,0.21134599336947765,0.009422294778865492,0.0004221849949085404,0.2235897023384829,0.015624892873113127,0.03699444819921687,0.4354453761625756,0.21812514819636616,0.03424437631719578,0.014987274367912326,0.5272913662292299,0.2800476888702211,0.04404552969314227,0.3585586085447496,0.5759086603717697,0.00390214759675714,0.058927316416818774,0.21460468346190995,0.552831475094801,0.012721841079156287,0.03573771817231275,1.7662081754012593,0.11599379878989959,0.004696951655682378,0.008656532706795126,1.7869197919463937,0.0009217667901344683,0.005272722075847247,0.014104400786475381,0.023931930656472093,0.02967390693654324,0.029365310695855736,0.02516719169294286,0.020504682136013017,0.016587387046296934,0.01386043517456764,0.012026046535877244,0.011270337055103732,0.010922112529045073,0.010254846931216501,0.010080006035975735,0.010089038966485112,0.009840501305203538,0.00938141208131215,0.00916186026225346,0.009036176698737713,0.008583247378236222,0.008423627336288014,0.008210480456393809,0.008016357840663015,0.007899533563011398,0.00769321025410796,0.007733641219009985,0.00783057348085568,0.007772375421897154,0.00781823692465247,0.007918789451491114,0.007935041098627913,0.008074575421216324,0.00835867937082967,0.008241227234956957,0.00836936688772855,0.008317434937557806,0.008462856114020433,0.008601708470551934,0.00864401816217725,0.008834587971724069,0.008883180392182177,0.008848429711103953,0.008984920555222254,0.009096941404367166,0.009206900383260188,0.009268780208740265,0.009386864361568721,0.009549411289853862,0.009654133743817754,0.009742645977710285,0.009794429476054804,0.00993175682959924,0.010085500872240466,0.010148262334448132,0.010344206570120088,0.010497016240938364,0.010605121232507519,0.01062168453309512,0.010679131279928126,0.010762161524410473,0.010757794912248462,0.010806809751877595,0.01083498842091259
6,2,0.8561390399392615,0.8738148332276099,0.5517099126390697,0.8603481926452465,0.5085488292182686,2.9350924429648315,4.643170006875594,0.005650316482401919,0.08245951452090898,0.19005122227678045,0.029863658012150674,0.011447996597488807,0.31507371783719207,0.02947699829200498,0.1612465196093093,1.6182827150677392,0.09077305924776832,0.0007265169723281674,0.008351859945853796,0.037331589545540673,1.691615791798105,0.028709594888110392,0.4216576720293504,0.5114069336183,0.04572677410403398,0.005568974241021015,0.7334640946375688,0.22333025178924532,0.006132464929828651,0.007522412145183151,0.03740596272772722,0.05769623758006683,0.002922090093243376,0.1052993845679355,0.009136730722006532,0.00145060537076175,0.008313700119476426,0.022115986993813126,0.037440919713835244,0.04645683379189338,0.04591614871831824,0.03934859868276756,0.032619944134751354,0.027090479114491035,0.02290563186700663,0.020745939672135415,0.020795277748032616,0.020302869245450817,0.01918036258421156,0.019983355368214818,0.020062854688611263,0.018489982491007768,0.017849782005409605,0.017748569104132722,0.01623343326704393,0.014667125569482214,0.014763659527655567,0.013980428782153376,0.012764071034015497,0.012559197510395588,0.012426569879810504,0.01214909097210212,0.01208179935067867,0.012099433676724811,0.012179650148845953,0.012227947275240268,0.012233175997552193,0.012510776992714905,0.012935969376548059,0.0126976246037086,0.01290786812222642,0.012876359315801299,0.013085356112580725,0.013252621407014513,0.013349209971277774,0.013669578421199102,0.01369689877601368,0.013633182536328434,0.013892730075520207,0.014054096549504243,0.014207306135309208,0.01432534076120233,0.014512348785752667,0.014733054719826794,0.014914725105971902,0.015080590795548576,0.015130349920357906,0.015317630508645536,0.015596964371372457,0.01571780078579503,0.0159728465494743,0.016203466507009125,0.016415141351121678,0.016414599808671222,0.01648545457136466,0.01661666933510126,0.016696927411575926,0.016687734787151236,0.0167358287282034
7,3,2.9621098834087407,3.0924762832202934,3.2524963999916574,2.9141403714154395,3.983492195979907,0.8376803502446104,0.30828000970172625,0.001215962020801794,0.01962542274706797,0.1318851924874676,0.015316992525653177,0.00467785537333409,0.18168726727998286,0.005402833663841103,0.047898815894193605,0.4537554777267043,0.11519643035375667,0.0035306282348520775,0.003991605666238092,0.061267254141681264,0.5125213701446218,0.037799224144783664,0.40105542495943114,0.11489496797715582,0.49446232126146483,0.9116123047909744,0.1979271796021416,0.3517727691110223,0.007188529770530362,0.21905626812349996,0.7540086708358126,0.07389850995491479,0.004446799960138632,0.004144295707154584,1.038942994610667,0.0015586877367792622,0.008885304867845738,0.02336765665520183,0.03976861700266109,0.04958670431632551,0.048785284752143686,0.04329556367765018,0.03835279806894956,0.03233477984757371,0.030271664614614772,0.032014473464670526,0.030694275365795286,0.030520974279085043,0.03290959092849736,0.030583490211173386,0.027605828277472613,0.027545877437740496,0.024026244420405376,0.020084208395745245,0.01908848121680374,0.0166758606858964,0.014660329417402827,0.01381234734891024,0.012983165725848522,0.012267643963879499,0.011884793313506382,0.011818442155607468,0.011852174094344074,0.011723997475819288,0.011800912534672687,0.011936073261574929,0.01186705475634776,0.012140394611259934,0.012579429089798415,0.012277908782817048,0.012483169182836526,0.012460576858011989,0.012601267828729099,0.012759821976014357,0.01288938370303497,0.013162017679954478,0.013192136532530575,0.013194501984931512,0.013343063492656383,0.013486788629560546,0.013672730173929063,0.013730391279725425,0.013850549906934882,0.014149177983866456,0.014281831573578173,0.014370121429519338,0.014473960022785459,0.014710446362263855,0.014848121244727059,0.014966704335374876,0.015312104276518166,0.015411571411606075,0.01559734280609696,0.015651629659070236,0.015641476606023656,0.015779530789101617,0.016013019229648526,0.015830007621488635,0.015776409414484747
8,2,0.8705496623646211,1.0256577141517567,0.7404572055848542,0.8650034406705539,1.2242719584537647,0.24726157995146758,0.09945817785215284,0.000738409659481221,0.008880074544952524,0.011538634318088317,0.000261803096514153,0.0006230629633342858,0.007464137048179964,0.011623122352633485,0.044914577255048126,0.47703102908909784,0.017094853108904465,0.007957459594810841,0.007799563467010326,0.14987850552395893,0.41009269745163535,0.0009275046031256078,0.005769469654019614,0.2366554504828512,0.04502330923974859,0.015526589108953106,0.23543547432413361,0.021072188400811518,0.010010428766906753,0.049867193919565685,0.020211538210475475,0.010501834555045686,0.0002671927571532724,0.018291196097657662,0.02642284242901196,0.0003449412003739865,0.0019131914047378698,0.004971690421359206,0.008332362400433023,0.010370232503461783,0.01027584917949744,0.00880788094826297,0.007595289395636818,0.006879859097010783,0.006228845696363854,0.006086867730345766,0.006801253648442257,0.0072209912594538295,0.007150415470381752,0.007664061419114557,0.007962598058765296,0.00746931640884731,0.0071460780417919485,0.006938612917026797,0.006160565480360417,0.005368765302381603,0.005107228930725757,0.004536272802003238,0.003869894246954942,0.0036136530278026765,0.003436548722155905,0.003164650411651637,0.003033121256099254,0.0030044647565303354,0.0029725035314907863,0.0029357909042534115,0.0029237002497098834,0.0029916932865467513,0.003083580388769289,0.0030361523369206327,0.003085424123580458,0.003084393759338547,0.0031433661279150807,0.003189153985252237,0.003214160582454045,0.0032929749549996676,0.003317013404996693,0.0033115908359662213,0.003364946929591739,0.003413658925039425,0.0034674722506452867,0.003496309643231425,0.0035374037324163135,0.003603881542598782,0.0036598949079801432,0.0036935241558170287,0.0037171586146722427,0.0037749178228523896,0.003840172324998084,0.0038719780862695283,0.003945236189278942,0.004013609969299364,0.004055371259659378,0.004068841840787269,0.004099160184961783,0.0041465516862065396,0.004157129123170763,0.0041673903527572435,0.004184432527020748
9,3,0.10021303987493754,0.11200772919669685,0.1407821491087853,0.09991437602714863,0.18853539598778454,0.8308772107355321,1.759538717402833,0.0030173956904145463,0.036618749483767886,0.029847026808353667,0.0008642122511951418,0.002890221430061578,0.01502638275398771,0.04507567303306207,0.1777180214026891,1.8536308021165084,0.037971279115409824,0.028006089024895608,0.03281985050081249,0.4998290637413099,1.6334366920344765,0.0008504780613358579,0.012238415428101999,0.5967812816384499,0.4812743783643863,0.4267733909537785,0.8763470689212404,0.031343208247735954,0.0006127704267285012,0.005520741463639172,0.1790055430530192,0.04882260674991133,0.01020444003574911,0.002555297891570023,0.20915014671206794,0.005261271825500787,0.03069051019330185,0.08218023413540326,0.13901259485490575,0.17151949387764903,0.1689194627096957,0.14416194477594924,0.1164357085491963,0.09267004137440915,0.0763779614887149,0.06524014780378692,0.059679975394327095,0.056427869271141726,0.05246695694728373,0.05114407009599087,0.04998581529443318,0.048508344906862774,0.046872541945412974,0.04577841920038741,0.04479445734985779,0.04300567820123878,0.043231016853855865,0.04216829003638986,0.04101673959572959,0.040877190767966934,0.04023239994711771,0.04038538698237942,0.04080480147080521,0.040649370902874606,0.04094632544762378,0.04119665635390382,0.04119942465059166,0.04200741223869549,0.04354164350888387,0.0425815912921694,0.04321727991599885,0.0428699844071852,0.04352807617366482,0.04415856592149783,0.044285679797792445,0.045289507047236076,0.04541871038740869,0.04511485380035843,0.045770553787042964,0.04632375131758423,0.04683545155642038,0.047023109775866455,0.04754585019145276,0.04836472179872717,0.048862556801047244,0.0492592822564814,0.04936386848142564,0.05002969114589373,0.050883909544506306,0.05107830154819008,0.052023234224359456,0.05276624457043933,0.05326743785885767,0.05315685683425177,0.053351110236709395,0.05381276214898277,0.0536159166227998,0.05369295880183525,0.05378032720927904
10,2,0.0770495084535422,0.09399012946432356,0.06888002591569754,0.07727456900849528,0.1319250929559759,0.1196551686768478,0.2556958374528042,3.0900536350543384e-05,0.0003832721196654488,0.01456197338455018,0.0006069233599190101,4.984271620247278e-05,0.015684500591287683,0.0010734808835491006,0.0044197865393758974,0.045826278920882556,0.008103056721730685,0.002418572979466012,0.001996190557993496,0.028679659529406445,0.03679607998148634,0.0007184306958425997,0.006166624010864407,0.015171798808410599,0.12463487226601067,0.22399836407718896,0.0296552785215164,0.009008209693312976,0.005025221461182397,0.06897309737134097,0.02600090943502319,0.0010557802847051866,0.00010121264609466456,0.002449552226929262,0.06314035096786283,5.7305713854207186e-05,0.0003134817204101362,0.0007733069304551065,0.0012939870849326927,0.0016984270969295431,0.001744745480452211,0.0015308626519433405,0.0015947589978912496,0.0018537440923775536,0.0018400850958877092,0.0020245599686515865,0.0027745624924751045,0.0031316197202339753,0.002988821795041707,0.0033884944384468376,0.0037848103039743865,0.0033320370920305337,0.002939234377917577,0.002975831642042407,0.0025757065955811197,0.0018926029761308673,0.0016718608191662737,0.0014667148896455725,0.00104859147207415,0.0008072828666054613,0.0007669268724731603,0.0006315120381352453,0.0005064119763547002,0.00048699696733023063,0.00047838574423175555,0.0004389896067315646,0.0004249980717991671,0.00043607697631099047,0.0004405178033916312,0.00042826494127917963,0.0004369073255218579,0.0004319912479058434,0.0004370198336461423,0.00044672446711881765,0.0004493402292512831,0.00045528569622187566,0.0004556256287856005,0.0004646723049013253,0.0004683000804312622,0.00047163970375474766,0.00048000583176814506,0.0004866391197227055,0.0004889945152753341,0.0004971130817394822,0.0005075397654450118,0.0005135328959749092,0.0005117397350989064,0.0005230095352916008,0.0005330309796714439,0.0005320480934488157,0.0005432936545702277,0.0005545401141467722,0.0005603701527405121,0.0005573454250044261,0.0005619603899369834,0.0005673288422646758,0.0005699262851317787,0.0005716994144508491,0.0005731478248317889
11,3,0.1404104801356715,0.1504740692446563,0.10966231814505116,0.14830277396195363,0.10880312225038673,0.303673935675407,0.425794327624794,9.445487323711868e-05,0.001717600503787049,0.010837673400757765,0.0014823075724265883,0.00046485570525205155,0.015027710060204643,0.0003637917178246726,0.008660100174545738,0.09029000765197133,0.002557637383996437,0.00024946057909573004,0.0008397076199873886,0.005476392262946643,0.08971595211757326,0.0019163503714621473,0.015734113273168083,0.02751872882268732,0.00254652367131638,0.009297738739783023,0.012228336826922084,0.021048045363617863,0.001195544308220029,0.03133137445708176,0.030804443843301145,0.003366679104731607,0.00017878941804501551,0.0007510644256801234,0.051366820774888355,0.00021730395977530498,0.0012800117032170427,0.0034210081156146755,0.0057787987605906295,0.00715522568255725,0.00710193864333612,0.006084843144695757,0.004926940916732397,0.00405436356797265,0.003537803396576076,0.0030715789023966038,0.0028714747783662245,0.003020770468319503,0.0030696726758649897,0.002922234176563284,0.0028987830707733917,0.003134660930284069,0.0030932727737249463,0.0027614601403534614,0.0026701801212930826,0.0027079521995602438,0.0025436852248230894,0.002175535871564177,0.0020565720483683553,0.002055408333174205,0.0018787189392643743,0.001708590480144316,0.0016958884594074023,0.001689663913693525,0.0016364286483343147,0.0015807864830268182,0.0015768694728301965,0.0016108176101177342,0.00165307653142356,0.0015929331783111943,0.0016158996918689994,0.0015963631782451321,0.0016140961300240074,0.0016345661185180264,0.0016349817484368643,0.0016705158954379651,0.0016667770043435528,0.0016540056541585265,0.001677469362799987,0.0016957188552325436,0.0017083965330351105,0.001709688386681485,0.0017280733942633998,0.001757886876658525,0.001770014424532832,0.001782167591674644,0.001781234252186907,0.0018043081251345875,0.001836343234696951,0.0018355708862867514,0.0018703220274423045,0.0018939299445542843,0.0019085103245927884,0.0018973217574543215,0.0018991090847423177,0.001916843589845665,0.0019028944965882185,0.0018996055587183023,0.0018972281019222813
12,2,0.09603815672720527,0.08976226569477286,0.1322209189040887,0.09922890707720511,0.10554551350200252,0.11634653971788424,0.16209494767509278,0.0016718133130129524,0.021695382195898262,0.01165789876990164,0.0032081691069813295,0.0020222273360717036,0.02542395368779572,0.014472300479054699,0.04503437522856609,0.4577103147021421,0.006921861044418076,0.0014944315939398238,0.0038212641452775786,0.04701994111536131,0.4455283737510971,0.008082388936443379,0.11277172948790208,0.15654127756585698,0.04887164238014866,0.027533345220788624,0.2578756655610809,0.0576228611192276,0.003930538476371371,0.019306758727878848,0.26815677308083097,0.024253990838394728,0.004289639697799314,0.006935702032230361,0.21884157428847478,0.00037089392904656306,0.0020346052676460374,0.005229212030243112,0.00885689403242361,0.01132278063005214,0.01139854038784635,0.009918904057658507,0.009337155958586911,0.00936772742814992,0.008633081209211843,0.00905016751835382,0.011465858579613089,0.01218287327003103,0.011430764000231255,0.013054930324262326,0.014202098838861428,0.012124352127385916,0.010923004953085664,0.011352025336415595,0.009727192017957484,0.007251343041957499,0.006858472042917511,0.006325166928090561,0.0048343341285358166,0.00414675266193343,0.004147029926394721,0.0037615852757266967,0.003417334349610844,0.003433381596500062,0.0034641391804530334,0.003385189910909355,0.0033618500191711837,0.0034721401107148725,0.0035717559821492367,0.003520221528400569,0.003581181929261072,0.0035888559206981177,0.003656883151966014,0.003708521786277766,0.003745741858680832,0.003833566912641234,0.0038456003222524446,0.0038591065342973327,0.003930474986232767,0.0039793304944892825,0.0040352960980305184,0.004087722028642844,0.004137947418391106,0.004201278004194612,0.00427402061522589,0.004332822167944131,0.004346505172942057,0.004415744591672615,0.004492145594111173,0.004529209489901965,0.004609107913748986,0.004687473359358274,0.004758192477374395,0.004762257613273483,0.004801177902594847,0.0048293577365560595,0.004879109606515384,0.004893021266432341,0.0049232224655913195
