Canal_6,Canal_7,Canal_8
0.2229,-2.565,-10.849
-21.777,-16.565,-6.8493
-3.7771,-8.565,-18.849
-11.777,-20.565,-28.849
-9.7771,-26.565,-28.849
-5.7771,-32.565,-30.849
-13.777,-40.565,-54.849
-13.777,-36.565,-34.849
-3.7771,-24.565,-32.849
-3.7771,-24.565,-36.849
-11.777,-28.565,-60.849
2.2229,-10.565,-26.849
-1.7771,-12.565,-10.849
-7.7771,-24.565,-12.849
8.2229,-14.565,-22.849
2.2229,-12.565,-24.849
0.2229,-20.565,-28.849
-25.777,-26.565,-14.849
0.2229,-16.565,-4.8493
6.2229,-0.565,-2.8493
-5.7771,-4.565,-0.8493
-17.777,-10.565,-8.8493
-15.777,-28.565,-20.849
30.223,-34.565,-26.849
54.223,-46.565,-12.849
74.223,-24.565,3.1507
62.223,-0.565,25.151
20.223,89.435,125.15
-75.777,241.44,275.15
-225.78,425.43,455.15
-405.78,571.43,577.15
-543.78,713.43,709.15
-667.78,815.43,773.15
-629.78,821.43,665.15
-439.78,575.43,283.15
-203.78,267.44,-56.849
-45.777,-38.565,-270.85
98.223,-248.56,-408.85
198.22,-256.56,-334.85
194.22,-246.56,-264.85
178.22,-222.56,-186.85
158.22,-218.56,-152.85
154.22,-202.56,-124.85
138.22,-214.56,-136.85
134.22,-200.56,-114.85
122.22,-190.56,-110.85
120.22,-178.56,-100.85
114.22,-168.56,-94.849
102.22,-174.56,-112.85
108.22,-138.56,-88.849
106.22,-126.56,-74.849
104.22,-106.56,-56.849
76.223,-114.56,-62.849
84.223,-106.56,-68.849
72.223,-100.56,-70.849
72.223,-96.565,-66.849
70.223,-74.565,-62.849
58.223,-62.565,-44.849
42.223,-76.565,-54.849
40.223,-62.565,-48.849
32.223,-50.565,-10.849
28.223,-64.565,-36.849
36.223,-36.565,-18.849
40.223,-26.565,-10.849
36.223,-44.565,-28.849
30.223,-22.565,-14.849
26.223,-28.565,-12.849
20.223,-24.565,-8.8493
32.223,-14.565,-8.8493
18.223,-6.565,3.1507
14.223,-18.565,-12.849
16.223,1.435,7.1507
16.223,-6.565,1.1507
16.223,-0.565,1.1507
8.2229,11.435,25.151
12.223,5.435,5.1507
14.223,13.435,13.151
26.223,23.435,23.151
2.2229,9.435,-0.8493
-13.777,1.435,7.1507
-11.777,13.435,23.151
-17.777,17.435,45.151
-17.777,33.435,37.151
-3.7771,43.435,51.151
-25.777,35.435,39.151
-27.777,37.435,43.151
-21.777,51.435,53.151
-27.777,51.435,35.151
-13.777,57.435,47.151
-19.777,55.435,55.151
-31.777,53.435,71.151
-31.777,45.435,49.151
-43.777,35.435,47.151
-37.777,57.435,49.151
-31.777,55.435,57.151
-35.777,47.435,51.151
-33.777,53.435,61.151
-47.777,33.435,43.151
-19.777,47.435,29.151
-19.777,49.435,39.151
-17.777,43.435,39.151
-13.777,29.435,37.151
-19.777,23.435,23.151
-19.777,-10.565,7.1507
10.223,17.435,55.151
2.2229,-6.565,25.151
12.223,-12.565,15.151
4.2229,-32.565,-8.8493
34.223,-34.565,-38.849
50.223,-36.565,-28.849
60.223,-52.565,-56.849
36.223,-70.565,-58.849
50.223,-72.565,-66.849
54.223,-72.565,-82.849
52.223,-68.565,-76.849
38.223,-98.565,-96.849
72.223,-44.565,-36.849
20.223,-88.565,-102.85
36.223,-74.565,-96.849
28.223,-62.565,-80.849
32.223,-54.565,-72.849
18.223,-56.565,-62.849
26.223,-64.565,-70.849
32.223,-48.565,-48.849
16.223,-56.565,-56.849
40.223,-16.565,-38.849
10.223,-46.565,-70.849
16.223,-30.565,-44.849
16.223,-28.565,-28.849
12.223,-38.565,-32.849
18.223,-34.565,-40.849
14.223,-26.565,-28.849
6.2229,-26.565,-24.849
-1.7771,-18.565,-24.849
0.2229,-14.565,-18.849
-11.777,-40.565,-34.849
8.2229,-12.565,-10.849
-15.777,-34.565,-42.849
-5.7771,-22.565,-30.849
6.2229,-14.565,-22.849
8.2229,-6.565,-16.849
2.2229,-14.565,-24.849
-21.777,-30.565,-16.849
-11.777,-12.565,13.151
4.2229,-0.565,11.151
-3.7771,-10.565,-16.849
-7.7771,-14.565,-6.8493
-11.777,-20.565,-14.849
14.223,-4.565,-18.849
-7.7771,-26.565,-40.849
0.2229,-24.565,-38.849
2.2229,1.435,-12.849
-7.7771,-20.565,-24.849
-21.777,-32.565,-30.849
-9.7771,-20.565,-24.849
0.2229,-2.565,-4.8493
18.223,9.435,-10.849
-7.7771,-8.565,-16.849
-17.777,-22.565,-22.849
0.2229,-8.565,-24.849
-1.7771,-14.565,-18.849
10.223,-8.565,3.1507
-7.7771,-30.565,-14.849
12.223,-4.565,3.1507
-1.7771,-22.565,-10.849
8.2229,-4.565,-6.8493
-9.7771,-12.565,-14.849
6.2229,1.435,9.1507
8.2229,9.435,19.151
-5.7771,13.435,15.151
14.223,25.435,27.151
34.223,43.435,31.151
32.223,41.435,35.151
2.2229,29.435,25.151
16.223,45.435,33.151
10.223,39.435,51.151
8.2229,49.435,49.151
-11.777,19.435,41.151
-27.777,9.435,17.151
-37.777,-10.565,-0.8493
-33.777,1.435,-8.8493
-47.777,-12.565,-32.849
-29.777,-4.565,-6.8493
-33.777,-18.565,-20.849
-17.777,-12.565,-4.8493
-27.777,-36.565,-36.849
-17.777,-32.565,-40.849
-13.777,-26.565,-22.849
-3.7771,-18.565,-18.849
-3.7771,-28.565,-40.849
-13.777,-40.565,-52.849
-9.7771,-38.565,-48.849
-9.7771,-38.565,-42.849
2.2229,-14.565,-34.849
2.2229,-16.565,-14.849
-9.7771,-28.565,-26.849
-7.7771,-28.565,-36.849
-11.777,-30.565,-36.849
-1.7771,-20.565,-28.849
-3.7771,-8.565,-18.849
-11.777,-22.565,-22.849
-7.7771,-16.565,-14.849
-7.7771,-12.565,-12.849
-27.777,-28.565,-24.849
-11.777,-14.565,-30.849
-1.7771,-30.565,-24.849
30.223,-42.565,-22.849
64.223,-32.565,-2.8493
46.223,-52.565,-6.8493
54.223,-2.565,37.151
14.223,141.44,189.15
-97.777,297.44,345.15
-267.78,465.43,483.15
-453.78,619.43,625.15
-633.78,723.43,717.15
-707.78,825.43,751.15
-605.78,769.43,549.15
-393.78,517.43,201.15
-157.78,193.44,-112.85
20.223,-80.565,-318.85
142.22,-246.56,-380.85
184.22,-276.56,-322.85
188.22,-238.56,-240.85
164.22,-236.56,-196.85
160.22,-220.56,-154.85
156.22,-212.56,-118.85
124.22,-232.56,-142.85
126.22,-220.56,-134.85
124.22,-196.56,-136.85
122.22,-172.56,-126.85
106.22,-182.56,-126.85
108.22,-158.56,-90.849
88.223,-162.56,-100.85
104.22,-144.56,-100.85
112.22,-106.56,-60.849
66.223,-132.56,-84.849
84.223,-98.565,-56.849
40.223,-124.56,-86.849
68.223,-94.565,-70.849
58.223,-90.565,-58.849
46.223,-88.565,-40.849
62.223,-46.565,-14.849
44.223,-58.565,-46.849
44.223,-58.565,-40.849
40.223,-56.565,-40.849
42.223,-50.565,-34.849
44.223,-32.565,-32.849
48.223,-18.565,-14.849
28.223,-30.565,-12.849
20.223,-32.565,-2.8493
14.223,-26.565,-6.8493
16.223,-30.565,-10.849
20.223,-10.565,-14.849
14.223,-20.565,-4.8493
4.2229,-18.565,-2.8493
32.223,15.435,23.151
16.223,-2.565,9.1507
10.223,-2.565,11.151
-13.777,-10.565,7.1507
-3.7771,-0.565,23.151
-1.7771,3.435,23.151
6.2229,25.435,31.151
-1.7771,5.435,11.151
-11.777,15.435,37.151
-21.777,11.435,31.151
-31.777,3.435,9.1507
-17.777,37.435,33.151
-9.7771,49.435,45.151
-19.777,47.435,45.151
-19.777,53.435,67.151
-29.777,51.435,63.151
-33.777,37.435,43.151
-33.777,47.435,55.151
-15.777,63.435,61.151
-31.777,51.435,65.151
-17.777,57.435,69.151
-47.777,33.435,43.151
-31.777,39.435,51.151
-35.777,35.435,39.151
-11.777,59.435,69.151
-13.777,57.435,67.151
-25.777,35.435,59.151
-11.777,31.435,43.151
-25.777,17.435,29.151
-9.7771,17.435,31.151
-13.777,9.435,21.151
-15.777,1.435,21.151
-13.777,-32.565,-10.849
22.223,-6.565,13.151
10.223,-46.565,-30.849
38.223,-40.565,-24.849
46.223,-38.565,-24.849
46.223,-46.565,-38.849
46.223,-52.565,-44.849
38.223,-62.565,-66.849
50.223,-64.565,-78.849
36.223,-78.565,-84.849
42.223,-68.565,-82.849
52.223,-52.565,-68.849
24.223,-78.565,-94.849
42.223,-64.565,-72.849
18.223,-74.565,-80.849
22.223,-66.565,-66.849
50.223,-36.565,-56.849
12.223,-64.565,-76.849
40.223,-42.565,-48.849
8.2229,-60.565,-62.849
32.223,-40.565,-44.849
10.223,-46.565,-56.849
34.223,-14.565,-28.849
0.2229,-40.565,-42.849
6.2229,-38.565,-44.849
28.223,-20.565,-24.849
8.2229,-38.565,-40.849
10.223,-28.565,-32.849
12.223,-12.565,-20.849
2.2229,-14.565,-10.849
8.2229,-16.565,-28.849
24.223,5.435,-10.849
0.2229,-16.565,-24.849
-3.7771,-32.565,-26.849
16.223,-2.565,11.151
0.2229,-16.565,-8.8493
4.2229,-10.565,-4.8493
16.223,-2.565,3.1507
12.223,-12.565,-6.8493
-5.7771,-30.565,-34.849
-17.777,-28.565,-24.849
-7.7771,-14.565,-10.849
-5.7771,-14.565,-10.849
34.223,9.435,-12.849
12.223,-6.565,-18.849
10.223,-16.565,-28.849
4.2229,-8.565,-26.849
8.2229,-8.565,-4.8493
2.2229,-14.565,-10.849
12.223,-0.565,-2.8493
18.223,7.435,-2.8493
0.2229,-12.565,-8.8493
2.2229,-8.565,3.1507
6.2229,7.435,15.151
26.223,21.435,19.151
26.223,23.435,11.151
10.223,21.435,-2.8493
0.2229,3.435,13.151
44.223,51.435,55.151
32.223,45.435,51.151
16.223,39.435,31.151
18.223,43.435,31.151
22.223,55.435,41.151
-15.777,23.435,29.151
-15.777,19.435,25.151
-13.777,21.435,23.151
-15.777,13.435,5.1507
-15.777,13.435,11.151
-25.777,-2.565,-8.8493
-5.7771,5.435,-2.8493
-21.777,-18.565,-22.849
-1.7771,-4.565,-14.849
-11.777,-24.565,-46.849
-1.7771,-28.565,-40.849
2.2229,-30.565,-42.849
-11.777,-34.565,-48.849
8.2229,-26.565,-48.849
6.2229,-14.565,-28.849
4.2229,-24.565,-30.849
8.2229,-16.565,-18.849
-9.7771,-22.565,-30.849
-1.7771,-28.565,-30.849
12.223,-14.565,-22.849
0.2229,-24.565,-34.849
-1.7771,-20.565,-28.849
-7.7771,-24.565,-42.849
-5.7771,-18.565,-36.849
-3.7771,-20.565,-28.849
-9.7771,-22.565,-6.8493
0.2229,-14.565,-20.849
10.223,5.435,-6.8493
-5.7771,-2.565,-8.8493
32.223,-4.565,-0.8493
36.223,-38.565,-16.849
60.223,-38.565,-4.8493
72.223,-8.565,37.151
56.223,25.435,59.151
8.2229,165.44,211.15
-121.78,315.44,367.15
-277.78,499.43,521.15
-459.78,641.43,661.15
-631.78,747.43,767.15
-727.78,831.43,793.15
-627.78,723.43,541.15
-379.78,485.43,177.15
-165.78,147.44,-124.85
22.223,-124.56,-336.85
138.22,-258.56,-382.85
180.22,-286.56,-324.85
204.22,-244.56,-230.85
178.22,-238.56,-196.85
182.22,-212.56,-172.85
156.22,-218.56,-166.85
150.22,-204.56,-148.85
156.22,-188.56,-124.85
134.22,-184.56,-134.85
138.22,-174.56,-124.85
116.22,-158.56,-118.85
116.22,-156.56,-108.85
108.22,-154.56,-104.85
114.22,-118.56,-64.849
102.22,-120.56,-88.849
92.223,-112.56,-84.849
96.223,-92.565,-70.849
82.223,-84.565,-54.849
60.223,-90.565,-62.849
68.223,-76.565,-56.849
58.223,-70.565,-46.849
78.223,-50.565,-38.849
58.223,-42.565,-28.849
48.223,-54.565,-40.849
54.223,-46.565,-38.849
44.223,-32.565,-20.849
38.223,-38.565,-36.849
42.223,-24.565,-8.8493
30.223,-18.565,-2.8493
28.223,-16.565,-14.849
42.223,-10.565,-16.849
18.223,-24.565,-16.849
32.223,-10.565,-4.8493
32.223,1.435,-0.8493
34.223,9.435,7.1507
14.223,-6.565,-10.849
28.223,17.435,15.151
6.2229,5.435,13.151
0.2229,3.435,9.1507
24.223,21.435,21.151
14.223,19.435,27.151
6.2229,13.435,17.151
8.2229,35.435,53.151
-11.777,19.435,35.151
-11.777,25.435,29.151
-13.777,31.435,37.151
-23.777,31.435,27.151
-13.777,39.435,35.151
0.2229,67.435,57.151
-17.777,53.435,49.151
-27.777,43.435,37.151
-39.777,39.435,31.151
-27.777,35.435,33.151
6.2229,77.435,63.151
-15.777,59.435,57.151
-29.777,49.435,41.151
-23.777,53.435,41.151
-19.777,69.435,55.151
-41.777,37.435,25.151
-15.777,55.435,35.151
-21.777,55.435,55.151
-21.777,43.435,61.151
-25.777,29.435,39.151
-13.777,39.435,45.151
-11.777,15.435,17.151
14.223,33.435,37.151
26.223,23.435,37.151
8.2229,-12.565,-6.8493
28.223,-6.565,19.151
12.223,-36.565,-16.849
40.223,-28.565,-12.849
34.223,-42.565,-62.849
68.223,-12.565,-36.849
26.223,-54.565,-58.849
12.223,-70.565,-62.849
48.223,-48.565,-44.849
40.223,-68.565,-70.849
70.223,-40.565,-50.849
54.223,-48.565,-72.849
40.223,-72.565,-88.849
46.223,-48.565,-66.849
56.223,-34.565,-42.849
34.223,-40.565,-58.849
38.223,-40.565,-54.849
26.223,-38.565,-42.849
20.223,-40.565,-52.849
14.223,-44.565,-54.849
20.223,-32.565,-52.849
24.223,-22.565,-40.849
32.223,-14.565,-14.849
14.223,-20.565,-12.849
30.223,-10.565,-12.849
14.223,-20.565,-22.849
12.223,-18.565,-20.849
14.223,-8.565,-12.849
6.2229,-14.565,-20.849
2.2229,-12.565,-14.849
-5.7771,-14.565,-16.849
2.2229,-12.565,-12.849
2.2229,-12.565,-34.849
12.223,-2.565,-10.849
2.2229,-8.565,-20.849
4.2229,-6.565,-8.8493
18.223,3.435,1.1507
2.2229,-10.565,-20.849
12.223,3.435,-8.8493
16.223,-8.565,-26.849
0.2229,7.435,-12.849
18.223,-0.565,1.1507
-15.777,-14.565,-24.849
4.2229,-4.565,-10.849
-7.7771,-4.565,-4.8493
8.2229,-8.565,-6.8493
8.2229,7.435,-2.8493
6.2229,-2.565,-16.849
20.223,11.435,-2.8493
16.223,5.435,11.151
28.223,9.435,7.1507
22.223,17.435,19.151
22.223,27.435,27.151
12.223,27.435,35.151
28.223,33.435,35.151
16.223,27.435,29.151
26.223,49.435,31.151
18.223,35.435,11.151
22.223,55.435,39.151
-23.777,15.435,19.151
-11.777,39.435,43.151
-37.777,-2.565,-0.8493
-25.777,13.435,3.1507
-25.777,9.435,-2.8493
-39.777,-10.565,-22.849
-33.777,-8.565,-26.849
-25.777,-20.565,-40.849
-9.7771,-14.565,-34.849
-19.777,-28.565,-44.849
-3.7771,-24.565,-28.849
-1.7771,-26.565,-46.849
-1.7771,-38.565,-56.849
24.223,-0.565,-22.849
2.2229,-28.565,-34.849
10.223,-18.565,-44.849
0.2229,-28.565,-50.849
-1.7771,-10.565,-38.849
-5.7771,-24.565,-34.849
-11.777,-20.565,-42.849
-21.777,-32.565,-54.849
-17.777,-22.565,-34.849
-5.7771,-12.565,-22.849
0.2229,-14.565,-36.849
12.223,-2.565,-20.849
10.223,-0.565,-10.849
-7.7771,-22.565,-12.849
10.223,3.435,1.1507
18.223,-2.565,-6.8493
20.223,-30.565,-30.849
30.223,-44.565,-18.849
70.223,-44.565,-8.8493
94.223,5.435,23.151
46.223,67.435,91.151
-47.777,193.44,255.15
-213.78,363.44,425.15
-361.78,555.43,601.15
-581.78,651.43,695.15
-723.78,765.43,781.15
-731.78,765.43,663.15
-557.78,567.43,355.15
-339.78,259.44,5.1507
-95.777,-4.565,-230.85
74.223,-202.56,-360.85
172.22,-254.56,-338.85
204.22,-240.56,-270.85
182.22,-226.56,-206.85
176.22,-222.56,-172.85
178.22,-198.56,-148.85
170.22,-184.56,-122.85
172.22,-182.56,-134.85
178.22,-150.56,-116.85
136.22,-170.56,-124.85
130.22,-154.56,-106.85
120.22,-148.56,-106.85
144.22,-110.56,-88.849
114.22,-130.56,-98.849
116.22,-106.56,-60.849
94.223,-108.56,-72.849
86.223,-106.56,-68.849
90.223,-68.565,-40.849
60.223,-92.565,-66.849
76.223,-66.565,-42.849
76.223,-62.565,-42.849
98.223,-34.565,-14.849
68.223,-56.565,-40.849
58.223,-50.565,-46.849
44.223,-48.565,-34.849
52.223,-34.565,-20.849
48.223,-28.565,-20.849
48.223,-24.565,-10.849
34.223,-32.565,-28.849
36.223,-28.565,-20.849
34.223,-14.565,1.1507
30.223,-28.565,-10.849
32.223,-6.565,-0.8493
32.223,-14.565,-14.849
24.223,-14.565,-10.849
34.223,1.435,17.151
26.223,7.435,15.151
-1.7771,-10.565,9.1507
22.223,7.435,13.151
6.2229,15.435,31.151
12.223,-6.565,-22.849
10.223,21.435,13.151
0.2229,7.435,1.1507
14.223,33.435,19.151
-5.7771,29.435,27.151
-1.7771,23.435,17.151
-7.7771,27.435,25.151
-19.777,37.435,31.151
-19.777,37.435,47.151
-29.777,29.435,33.151
-15.777,49.435,37.151
-31.777,29.435,33.151
-21.777,39.435,15.151
-29.777,35.435,25.151
-35.777,33.435,27.151
-25.777,39.435,39.151
-25.777,49.435,33.151
-37.777,29.435,17.151
-35.777,45.435,25.151
-37.777,29.435,39.151
-47.777,27.435,39.151
-17.777,37.435,33.151
-13.777,33.435,37.151
-5.7771,25.435,25.151
-9.7771,19.435,29.151
-23.777,-2.565,13.151
-5.7771,7.435,31.151
10.223,5.435,11.151
28.223,-2.565,15.151
24.223,-20.565,-4.8493
20.223,-30.565,-24.849
28.223,-28.565,-34.849
26.223,-52.565,-46.849
34.223,-44.565,-38.849
26.223,-58.565,-58.849
40.223,-52.565,-50.849
44.223,-62.565,-68.849
18.223,-72.565,-72.849
36.223,-70.565,-88.849
38.223,-54.565,-80.849
36.223,-50.565,-68.849
18.223,-66.565,-78.849
24.223,-58.565,-66.849
22.223,-50.565,-52.849
28.223,-30.565,-30.849
20.223,-58.565,-74.849
44.223,-10.565,-24.849
12.223,-38.565,-48.849
28.223,-26.565,-42.849
8.2229,-24.565,-28.849
16.223,-28.565,-34.849
-1.7771,-26.565,-32.849
-1.7771,-18.565,-30.849
-11.777,-24.565,-36.849
2.2229,-16.565,-18.849
6.2229,-6.565,5.1507
-21.777,-34.565,-26.849
-3.7771,-26.565,-42.849
-1.7771,-14.565,-34.849
10.223,-0.565,-8.8493
12.223,-2.565,-0.8493
